DamageIndicators,1.7.10,,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1286538-hit-splat-damage-indicators-v3-3-2-rpg-ui-and
Mine & Blade: Battlegear 2,1.7.10,Mine &amp; Blade: Battlegear 2 - Bullseye - 1.0.8.0 ,http://minecraft.curseforge.com/mc-mods/59710-mb-battlegear-2/files
Pistronics 2,1.7.10,1.7.10-Pistronics2-V0.5.8.jar,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1294844-pistronics-2-modular-pistons-rotators-and-statues
Admin Commands Toolbox,1.7.10,AdminCommandsToolbox-0.0.2a_1.7.10.jar,http://minecraft.curseforge.com/mc-mods/221584-admin-commands-toolbox/files
AE2Stuff,1.7.10,ae2stuff-0.4.3.47-mc1.7.10.jar,http://minecraft.curseforge.com/mc-mods/225194-ae2-stuff/files
Agricraft,1.7.10,AgriCraft-1.7.10-1.3.1.jar,http://minecraft.curseforge.com/mc-mods/225635-agricraft/files
Ancient Warfare 2,1.7.10,Ancient Warfare 2.4.107 Full,http://minecraft.curseforge.com/mc-mods/224602-ancient-warfare-2/files
AOBD,1.7.10,AOBD-2.7.1.jar,http://minecraft.curseforge.com/mc-mods/221863-another-one-bites-the-dust/files
AppleCore,1.7.10,AppleCore-mc1.7.10-1.1.0.jar,http://minecraft.curseforge.com/mc-mods/224472-applecore/files
Applied Energistics 2,1.7.10,appliedenergistics2-rv2-stable-10.jar,http://minecraft.curseforge.com/mc-mods/223794-applied-energistics-2/files
Aroma1997Core,1.7.10,Aroma1997Core-1.7.10-1.0.2.14,http://minecraft.curseforge.com/mc-mods/223735-aroma1997core/files
Aroma1997's Dimensional World,1.7.10,Aroma1997s-Dimensional-World-1.7.10-1.1.0.1,http://minecraft.curseforge.com/mc-mods/60092-aroma1997s-dimensional-world/files
AromaBackup,1.7.10,AromaBackup-1.7.10-0.0.0.5,http://minecraft.curseforge.com/mc-mods/225658-aromabackup/files
Artifice,1.7.10,Artifice-1.7.10-1.1.5R-399.jar,http://minecraft.curseforge.com/mc-mods/223174-artifice/files
AsieLib,1.7.10,AsieLib-1.7.10-0.4.2.jar,http://wiki.vex.tty.sh/wiki:asielib
Automagy,1.7.10,v0.26.3,http://minecraft.curseforge.com/mc-mods/222153-automagy/files
Backpack,1.7.10,Backpack-2.0.1-1.7.X.jar,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1286124-1-6-x-1-7-x-backpacks-v-2-0-1
BDLib,1.7.10,bdlib-1.9.1.97-mc1.7.10.jar,http://minecraft.curseforge.com/mc-mods/70496-bdlib/files
BetterFoliage,1.7.10,BetterFoliage-mc1.7-1.0.13.jar,http://minecraft.curseforge.com/mc-mods/228529-better-foliage/files
BiblioCraft,1.7.10,BiblioCraft v1.10.5,http://minecraft.curseforge.com/mc-mods/228027-bibliocraft/files
BiblioWoods Natura,1.7.10,BiblioWoods Natura edition v1.5 for BiblioCraft v1.9.x+,http://minecraft.curseforge.com/mc-mods/228364-bibliocraft-bibliowoods-natura-edition/files
BiblioWoods BOP,1.7.10,BiblioWoods Biomes O' Plenty edition v1.9 for BiblioCraft v1.9.x+,http://minecraft.curseforge.com/mc-mods/228362-bibliocraft-bibliowoods-biomes-oplenty-edition/files
BiblioWoods Forestry,1.7.10,BiblioWoods Forestry edition v1.7 for BiblioCraft v1.9.x+,http://minecraft.curseforge.com/mc-mods/228363-bibliocraft-bibliowoods-forestry-edition/files
Big Reactors,1.7.10,BigReactors-0.4.3a.jar,http://www.big-reactors.com/#/
Big Trees,1.7.10,BigTrees-172b-Forge1060.jar,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1278469-the-bigtrees-mod
Binnie's Mods,1.7.10,binnie-mods-2.0-pre14.jar,http://minecraft.curseforge.com/mc-mods/223525-binnies-mods/files
Biomes O' Plenty,1.7.10,BiomesOPlenty-1.7.10-2.1.0.1237-universal.jar,http://minecraft.curseforge.com/mc-mods/220318-biomes-o-plenty/files
Blood Magic,1.7.10,BloodMagic-1.7.10-1.3.3-11.jar,http://minecraft.curseforge.com/mc-mods/224791-blood-magic/files
Botania,1.7.10,Botania r1.7-208.jar,http://minecraft.curseforge.com/mc-mods/225643-botania/files
Buildcraft,1.7.10,Buildcraft 7.0.17,http://minecraft.curseforge.com/mc-mods/61811-buildcraft/files
Buildcraft Compat,1.7.10,Buildcraft Compat 7.0.9,http://minecraft.curseforge.com/mc-mods/233140-buildcraft-compat/files
Carpenter's Blocks,1.7.10,v3.3.6 - Minecraft 1.7.10,http://minecraft.curseforge.com/mc-mods/228932-carpenters-blocks/files
Chisel 2,1.7.10,Chisel 2 - 2.4.1,http://minecraft.curseforge.com/mc-mods/225236-chisel-2/files
Chisel Facades,1.7.10,ChiselFacades-1.7.10-2.11-cricket.jar,http://minecraft.curseforge.com/mc-mods/222784-chisel-facades/files
CodeChickenCore,1.7.10,CodeChickenCore-1.7.10-1.0.7.46-universal.jar,http://chickenbones.net/Pages/links.html
CoFHCore,1.7.10,CoFHCore-[1.7.10]3.0.3-303.jar,http://minecraft.curseforge.com/mc-mods/69162-cofhcore/files
Compact Machines,1.7.10,compactmachines-1.7.10-1.20.jar,http://minecraft.curseforge.com/mc-mods/224218-compact-machines/files
